"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected IF Range from: 0.000 Selected Category Scheme: WoS",,,
Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor
11705,Acta Scientiarum Polonorum-Hortorum Cultus,ACTA SCI POL-HORTORU,0.443
11705,OSTRICH,OSTRICH,0.443
11705,QUATERNAIRE,QUATERNAIRE,0.443
11705,Revista Iberoamericana de Diagnostico y Evaluacion-e Avaliacao Psicologica,REV IBEROAM DIAGN EV,0.443
11709,CANADIAN MODERN LANGUAGE REVIEW-REVUE CANADIENNE DES LANGUES VIVANTES,CAN MOD LANG REV,0.442
11709,FEMINIST STUDIES,FEMINIST STUD,0.442
11709,SOCIAL RESEARCH,SOC RES,0.442
11709,SPIXIANA,SPIXIANA,0.442
11713,LITHOLOGY AND MINERAL RESOURCES,LITHOL MINER RESOUR+,0.441
11713,PSYCHOTHERAPEUT,PSYCHOTHERAPEUT,0.441
11713,Praehistorische Zeitschrift,PRAEHIST Z,0.441
11713,Tropical Grasslands-Forrajes Tropicales,TROP GRASSL-FORRAJES,0.441
11717,English in Australia,ENGL AUST,0.440
11717,European Journal of the History of Economic Thought,EUR J HIST ECON THOU,0.440
11719,Austrian Journal of Earth Sciences,AUSTRIAN J EARTH SCI,0.439
11719,TROPICAL JOURNAL OF PHARMACEUTICAL RESEARCH,TROP J PHARM RES,0.439
11721,BERLINER UND MUNCHENER TIERARZTLICHE WOCHENSCHRIFT,BERL MUNCH TIERARZTL,0.438
11721,LIBRARY JOURNAL,LIBR J,0.438
11723,Indian Journal of Animal Research,INDIAN J ANIM RES,0.437
11724,CLINICAL SOCIAL WORK JOURNAL,CLIN SOC WORK J,0.436
11724,Dynamis,DYNAMIS,0.436
11724,Dynamis,DYNAMIS,0.436
11727,Functions of Language,FUNCT LANG,0.435
11727,PROBUS,PROBUS,0.435
11727,Psychoanalysis and History,PSYCHOANAL HIST,0.435
11727,Souls,SOULS,0.435
11731,Journal of the Mexican Chemical Society,J MEX CHEM SOC,0.434
11731,SPECTROSCOPY AND SPECTRAL ANALYSIS,SPECTROSC SPECT ANAL,0.434
11733,Asian Journal of WTO & International Health Law and Policy,ASIAN J WTO INT HEAL,0.433
11733,JOURNAL OF ASIAN AND AFRICAN STUDIES,J ASIAN AFR STUD,0.433
11733,STATISTICA NEERLANDICA,STAT NEERL,0.433
11736,Asia Pacific Journal of Anthropology,ASIA PAC J ANTHROPOL,0.432
11736,Kyushu Journal of Mathematics,KYUSHU J MATH,0.432
11736,Logical Methods in Computer Science,LOG METH COMPUT SCI,0.432
11736,MATHEMATICA SCANDINAVICA,MATH SCAND,0.432
11740,HIGH TEMPERATURES-HIGH PRESSURES,HIGH TEMP-HIGH PRESS,0.431
11740,JOURNAL OF BRITISH STUDIES,J BRIT STUD,0.431
11740,Nexus Network Journal,NEXUS NETW J,0.431
11743,INTERNATIONAL JOURNAL OF GROUP PSYCHOTHERAPY,INT J GROUP PSYCHOTH,0.430
11743,MANCHESTER SCHOOL,MANCH SCH,0.430
11743,Nigerian Journal of Clinical Practice,NIGER J CLIN PRACT,0.430
11743,OPERATIVE TECHNIQUES IN SPORTS MEDICINE,OPER TECHN SPORT MED,0.430
11743,Pacific Journal of Optimization,PAC J OPTIM,0.430
11748,AFRICAN JOURNAL OF HERPETOLOGY,AFR J HERPETOL,0.429
11748,Anuario De Psicologia Juridica,ANU PSICOL JURID,0.429
11748,Asian Myrmecology,ASIAN MYRMECOL,0.429
11748,Asian-Pacific Economic Literature,ASIAN-PAC ECON LIT,0.429
11748,Assistenza Infermieristica e Ricerca,ASSIST INFERM RIC,0.429
11748,Assistenza Infermieristica e Ricerca,ASSIST INFERM RIC,0.429
11748,Gender and Language,GENDER LANG,0.429
11748,INDIAN JOURNAL OF CANCER,INDIAN J CANCER,0.429
11748,Iberica,IBERICA,0.429
11748,JUSTICE SYSTEM JOURNAL,JUSTICE SYST J,0.429
11748,Markov Processes and Related Fields,MARKOV PROCESS RELAT,0.429
11748,NEW ZEALAND ENTOMOLOGIST,NZ ENTOMOL,0.429
11748,South African Journal of Business Management,S AFR J BUS MANAG,0.429
11748,Survey Methodology,SURV METHODOL,0.429
11748,Survey Methodology,SURV METHODOL,0.429
11763,PRZEMYSL CHEMICZNY,PRZEM CHEM,0.428
11763,Revista Chilena de Infectologia,REV CHIL INFECTOL,0.428
11765,BULLETIN OF ECONOMIC RESEARCH,B ECON RES,0.427
11765,HIGH TEMPERATURE MATERIALS AND PROCESSES,HIGH TEMP MAT PR-ISR,0.427
11765,INTERNIST,INTERNIST,0.427
11768,Journal of Hyperbolic Differential Equations,J HYPERBOL DIFFER EQ,0.426
11768,MAMMAL STUDY,MAMM STUDY,0.426
11768,Topics in Companion Animal Medicine,TOP COMPANION ANIM M,0.426
11768,VETERINARSKI ARHIV,VET ARHIV,0.426
11772,Gospodarka Surowcami Mineralnymi-Mineral Resources Management,GOSPOD SUROWCAMI MIN,0.425
11772,Indian Journal of Pharmaceutical Education and Research,INDIAN J PHARM EDUC,0.425
11772,International Journal of Sport Finance,INT J SPORT FINANC,0.425
11772,PUBLICATIONS OF THE RESEARCH INSTITUTE FOR MATHEMATICAL SCIENCES,PUBL RES I MATH SCI,0.425
11776,AMERICAS,AMERICAS,0.424
11776,COMMUNICATIONS IN STATISTICS-THEORY AND METHODS,COMMUN STAT-THEOR M,0.424
11776,CZECHOSLOVAK MATHEMATICAL JOURNAL,CZECH MATH J,0.424
11776,Chemija,CHEMIJA,0.424
11776,Journal of Mathematical Physics Analysis Geometry,J MATH PHYS ANAL GEO,0.424
11776,Journal of Psychologists and Counsellors in Schools,J PSYCHOL COUNS SCH,0.424
11776,LC GC NORTH AMERICA,LC GC N AM,0.424
11776,ORDER-A JOURNAL ON THE THEORY OF ORDERED SETS AND ITS APPLICATIONS,ORDER,0.424
11784,Australian and New Zealand Journal of Family Therapy,AUST NZ J FAM THER,0.423
11784,Austrian History Yearbook,AUSTRIAN HIST YEARB,0.423
11784,JAPANESE ECONOMIC REVIEW,JPN ECON REV,0.423
11784,KEDI Journal of Educational Policy,KEDI J EDUC POLICY,0.423
11784,TETSU TO HAGANE-JOURNAL OF THE IRON AND STEEL INSTITUTE OF JAPAN,TETSU TO HAGANE,0.423
11789,ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,ACTA ZOOL ACAD SCI H,0.421
11789,ANALES DEL JARDIN BOTANICO DE MADRID,AN JARDIN BOT MADRID,0.421
11789,COMPUTING AND INFORMATICS,COMPUT INFORM,0.421
11789,Psychoanalytic Study of the Child,PSYCHOANAL STUD CHIL,0.421
11789,REVUE D ECOLOGIE-LA TERRE ET LA VIE,REV ECOL-TERRE VIE,0.421
11789,Sumarski List,SUMAR LIST,0.421
11795,BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN,B BELG MATH SOC-SIM,0.420
11795,IHERINGIA SERIE ZOOLOGIA,IHERINGIA SER ZOOL,0.420
11795,JOURNAL OF INSTITUTIONAL AND THEORETICAL ECONOMICS-ZEITSCHRIFT FUR DIE GESAMTE STAATSWISSENSCHAFT,J INST THEOR ECON,0.420
11795,WESTERN NORTH AMERICAN NATURALIST,WEST N AM NATURALIST,0.420
11799,BERLINER JOURNAL FUR SOZIOLOGIE,BERL J SOZIOL,0.419
11799,CHINESE ANNALS OF MATHEMATICS SERIES B,CHINESE ANN MATH B,0.419
11799,Contributions to Discrete Mathematics,CONTRIB DISCRET MATH,0.419
11799,INTERNATIONAL JOURNAL OF ALGEBRA AND COMPUTATION,INT J ALGEBR COMPUT,0.419
11799,JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA,J NATL SCI FOUND SRI,0.419
11799,Philosophia Mathematica,PHILOS MATH,0.419
11799,Revista Argentina de Clinica Psicologica,REV ARGENT CLIN PSIC,0.419
11799,Revista Argentina de Clinica Psicologica,REV ARGENT CLIN PSIC,0.419
11807,Digital Scholarship in the Humanities,DIGIT SCHOLARSH HUM,0.418
11807,Mechanics of Solids,MECH SOLIDS+,0.418
11807,TROPICAL BIOMEDICINE,TROP BIOMED,0.418
11810,ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,ACUPUNCTURE ELECTRO,0.417
11810,CRYPTOLOGIA,CRYPTOLOGIA,0.417
11810,Historical Studies in the Natural Sciences,HIST STUD NAT SCI,0.417
11810,Historical Studies in the Natural Sciences,HIST STUD NAT SCI,0.417
11810,INTERNATIONAL REVIEW OF SOCIAL HISTORY,INT REV SOC HIST,0.417
11810,JOURNAL OF MEDIA ECONOMICS,J MEDIA ECON,0.417
11810,Journal of Asian Architecture and Building Engineering,J ASIAN ARCHIT BUILD,0.417
11817,ACTA ARITHMETICA,ACTA ARITH,0.416
11817,TOPOLOGY AND ITS APPLICATIONS,TOPOL APPL,0.416
11819,ANNALES DE PATHOLOGIE,ANN PATHOL,0.415
11819,EUROPEAN HISTORY QUARTERLY,EUR HIST Q,0.415
11819,INTERNASJONAL POLITIKK,INT POLIT-OSLO,0.415
11819,,TIERAERZTL PRAX,0.415
11823,Journal of Credit Risk,J CREDIT RISK,0.414
11823,OSAKA JOURNAL OF MATHEMATICS,OSAKA J MATH,0.414
11825,AMERICAN SPEECH,AM SPEECH,0.413
11825,RADIOLOGE,RADIOLOGE,0.413
11827,INTERNATIONAL LABOR AND WORKING-CLASS HISTORY,INT LABOR WORK-CLASS,0.412
11827,Slovo a Slovesnost,SLOVO SLOVESNOST,0.412
11829,Journal of Tropical Meteorology,J TROP METEOROL,0.411
11829,Kafkas Universitesi Veteriner Fakultesi Dergisi,KAFKAS UNIV VET FAK,0.411
11831,International Arab Journal of Information Technology,INT ARAB J INF TECHN,0.410
11831,Journal of Hematopathology,J HEMATOP,0.410
11833,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,0.409
11833,JOURNAL OF POLYMER MATERIALS,J POLYM MATER,0.409
11835,Cytology and Genetics,CYTOL GENET+,0.408
11836,JCPSP-Journal of the College of Physicians and Surgeons Pakistan,JCPSP-J COLL PHYSICI,0.407
11836,Journal of Commutative Algebra,J COMMUT ALGEBR,0.407
11836,Journal of Semiconductor Technology and Science,J SEMICOND TECH SCI,0.407
11836,Revue Francaise de Linguistique Appliquee,REV FR LING APPL,0.407
11840,Landbauforschung,LANDBAUFORSCHUNG-GER,0.406
11841,AUSTRALIAN JOURNAL OF POLITICS AND HISTORY,AUST J POLIT HIST,0.405
11841,Cultural Studies Review,CULT STUD REV,0.405
11841,Review of Cognitive Linguistics,REV COGN LINGUIST,0.405
11844,JOURNAL OF REHABILITATION,J REHABIL,0.404
11844,Journal of Beliefs & Values-Studies in Religion & Education,J BELIEFS VALUES,0.404
11844,Journal of the South African Institution of Civil Engineering,J S AFR INST CIV ENG,0.404
11844,SOUTHEASTERN NATURALIST,SOUTHEAST NAT,0.404
11844,Stahlbau,STAHLBAU,0.404
11849,Acta Clinica Croatica,ACTA CLIN CROAT,0.403
11849,Automatika,AUTOMATIKA,0.403
11849,Filosofija-Sociologija,FILOS-SOCIOL,0.403
11849,NOVON,NOVON,0.403
11853,PAEDAGOGICA HISTORICA,PAEDAGOG HIST,0.402
11854,Asia Pacific Law Review,ASIA PAC LAW REV,0.400
11854,Australian Aboriginal Studies,AUST ABORIG STUD,0.400
11854,CT&F-Ciencia Tecnologia y Futuro,CT F-CIENC TECN FUT,0.400
11854,JOURNAL OF NEW MATERIALS FOR ELECTROCHEMICAL SYSTEMS,J NEW MAT ELECTR SYS,0.400
11854,Journal of Germanic Linguistics,J GER LINGUIST,0.400
11854,MICROPALEONTOLOGY,MICROPALEONTOLOGY,0.400
11854,MITTEILUNGEN DER OSTERREICHISCHEN GEOGRAPHISCHEN GESELLSCHAFT,MITT OSTERR GEOGR G,0.400
11854,Romani Studies,ROMANI STUD,0.400
11854,South African Journal of Psychiatry,SAJP-S AFR J PSYCHI,0.400
11854,South African Journal of Psychiatry,SAJP-S AFR J PSYCHI,0.400
11854,Text & Talk,TEXT TALK,0.400
11865,HEAT TRANSFER RESEARCH,HEAT TRANSF RES,0.398
11865,PRAKTISCHE METALLOGRAPHIE-PRACTICAL METALLOGRAPHY,PRAKT METALLOGR-PR M,0.398
11867,EPIDEMIOLOGIE MIKROBIOLOGIE IMUNOLOGIE,EPIDEMIOL MIKROBI IM,0.397
11867,GERMAN STUDIES REVIEW,GER STUD REV,0.397
11867,International Journal of Maritime Engineering,INT J MARIT ENG,0.397
11867,Journal of Homotopy and Related Structures,J HOMOTOPY RELAT STR,0.397
11867,SCHWEIZER ARCHIV FUR TIERHEILKUNDE,SCHWEIZ ARCH TIERH,0.397
11872,Inter-Asia Cultural Studies,INTER-ASIA CULT STUD,0.395
11872,Journal of Korea Trade,J KOREA TRADE,0.395
11872,REVUE ROUMAINE DE CHIMIE,REV ROUM CHIM,0.395
11875,ALGEBRA COLLOQUIUM,ALGEBR COLLOQ,0.394
11875,RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL,RESTAURATOR,0.394
11877,JOURNAL OF THE CHEMICAL SOCIETY OF PAKISTAN,J CHEM SOC PAKISTAN,0.393
11877,MEDICINA DELLO SPORT,MED SPORT,0.393
11877,Malaysian Journal of Pathology,MALAYS J PATHOL,0.393
11880,Puerto Rico Health Sciences Journal,P R HEALTH SCI J,0.392
11880,Revue de Pneumologie Clinique,REV PNEUMOL CLIN,0.392
11882,ARCHIVOS DE MEDICINA VETERINARIA,ARCH MED VET,0.391
11882,Eastern European Countryside,EAST EUR COUNTRYSIDE,0.391
11882,Journal of Contemporary Mathematical Analysis-Armenian Academy of Sciences,J CONTEMP MATH ANAL+,0.391
11885,AUSTRALIAN FEMINIST STUDIES,AUST FEMINIST STUD,0.390
11885,Babel-Revue Internationale de la Traduction-International Journal of Translation,BABEL-AMSTERDAM,0.390
11885,Custos e Agronegocio On Line,CUST AGRONEGOCIO,0.390
11885,Custos e Agronegocio On Line,CUST AGRONEGOCIO,0.390
11889,Jokull,JOKULL,0.389
11889,Journal of Laboratory Medicine,J LAB MED,0.389
11889,PAN-PACIFIC ENTOMOLOGIST,PAN-PAC ENTOMOL,0.389
11892,Boletin de la Sociedad Argentina de Botanica,B SOC ARGENT BOT,0.388
11893,Traitement du Signal,TRAIT SIGNAL,0.387
11894,CANADIAN HISTORICAL REVIEW,CAN HIST REV,0.386
11894,JOURNAL OF CERAMIC PROCESSING RESEARCH,J CERAM PROCESS RES,0.386
11896,JOURNAL OF INFRARED AND MILLIMETER WAVES,J INFRARED MILLIM W,0.384
11897,RHODORA,RHODORA,0.383
11898,BUNSEKI KAGAKU,BUNSEKI KAGAKU,0.382
11898,GAYANA BOTANICA,GAYANA BOT,0.382
11900,Egyptian Journal of Biological Pest Control,EGYPT J BIOL PEST CO,0.381
11900,Journal of Mathematics and Music,J MATH MUSIC,0.381
11900,POWDER METALLURGY AND METAL CERAMICS,POWDER METALL MET C+,0.381
11900,RARE METAL MATERIALS AND ENGINEERING,RARE METAL MAT ENG,0.381
11904,BIOLOGY BULLETIN,BIOL BULL+,0.379
11904,METAL SCIENCE AND HEAT TREATMENT,MET SCI HEAT TREAT+,0.379
11906,International Journal of Health  Economics and Management,INT J HEALTH ECON MA,0.378
11906,Pacific Focus,PAC FOCUS,0.378
11908,BOUNDARY 2-AN INTERNATIONAL JOURNAL OF LITERATURE AND CULTURE,BOUNDARY TWO,0.377
11908,JOURNAL OF MODERN ITALIAN STUDIES,J MOD ITAL STUD,0.377
11908,KARDIOLOGIYA,KARDIOLOGIYA,0.377
11908,Southern African Linguistics and Applied Language Studies,SO AFR LINGUIST APPL,0.377
11912,Soil Mechanics and Foundation Engineering,SOIL MECH FOUND ENG+,0.376
11913,ARCHIVOS LATINOAMERICANOS DE NUTRICION,ARCH LATINOAM NUTR,0.375
11913,Bioscience Journal,BIOSCI J,0.375
11913,HISTORIOGRAPHIA LINGUISTICA,HIST LINGUIST,0.375
11913,PHYSICS IN PERSPECTIVE,PHYS PERSPECT,0.375
11913,PHYSICS IN PERSPECTIVE,PHYS PERSPECT,0.375
11913,RUSSIAN JOURNAL OF THERIOLOGY,RUSS J THERIOL,0.375
11919,Transinformacao,TRANSINFORMACAO,0.373
11920,PSYCHOANALYTIC INQUIRY,PSYCHOANAL INQ,0.371
11920,Revista Internacional de Metodos Numericos para Calculo y Diseno en Ingenieria,REV INT METOD NUMER,0.371
11922,AGROCIENCIA,AGROCIENCIA-MEXICO,0.370
11922,ANTHROPOLOGIE,ANTHROPOLOGIE,0.370
11922,Revista de Estudios Politicos,REV ESTUD POLIT,0.370
11922,Semina-Ciencias Agrarias,SEMIN-CIENC AGRAR,0.370
11926,INTERNATIONAL JOURNAL OF MORPHOLOGY,INT J MORPHOL,0.369
11927,IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUTER SCIENCES,IEICE T FUND ELECTR,0.368
11927,PHI DELTA KAPPAN,PHI DELTA KAPPAN,0.368
11929,Austrian Journal of Political Science,AUSTRIAN J POLIT SCI,0.367
11929,BERICHTE UBER LANDWIRTSCHAFT,BER LANDWIRTSCH,0.367
11929,REVISTA ARVORE,REV ARVORE,0.367
11932,CHEMIE IN UNSERER ZEIT,CHEM UNSERER ZEIT,0.366
11932,International Review of the Red Cross,INT REV RED CROSS,0.366
11934,FORSCHUNG IM INGENIEURWESEN-ENGINEERING RESEARCH,FORSCH INGENIEURWES,0.365
11934,Perfiles Latinoamericanos,PERFILES LATINOAM,0.365
11934,REVSTAT-Statistical Journal,REVSTAT-STAT J,0.365
11937,AATCC REVIEW,AATCC REV,0.364
11937,JOURNAL OF PALLIATIVE CARE,J PALLIAT CARE,0.364
11937,JOURNAL OF PALLIATIVE CARE,J PALLIAT CARE,0.364
11937,PHYLLOMEDUSA,PHYLLOMEDUSA,0.364
11937,PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,P ACAD NAT SCI PHILA,0.364
11937,Revue d Histoire des Mathematiques,REV HIST MATH,0.364
11937,Rural History-Economy Society Culture,RURAL HIST,0.364
11944,Bulletin of the Korean Mathematical Society,B KOREAN MATH SOC,0.363
11944,POLITISCHE VIERTELJAHRESSCHRIFT,POLIT VIERTELJAHR,0.363
11946,ARCHIVES DE PEDIATRIE,ARCH PEDIATRIE,0.362
11946,VIE ET MILIEU-LIFE AND ENVIRONMENT,VIE MILIEU,0.362
11948,AMERICAN MATHEMATICAL MONTHLY,AM MATH MON,0.361
11948,DADOS-REVISTA DE CIENCIAS SOCIAIS,DADOS-REV CIENC SOC,0.361
11948,International Journal of Arts Management,INT J ARTS MANAG,0.361
11948,Journal of Evidence-Based Psychotherapies,J EVID-BASED PSYCHOT,0.361
11948,RENDICONTI DEL SEMINARIO MATEMATICO DELLA UNIVERSITA DI PADOVA,REND SEMIN MAT U PAD,0.361
11953,Hong Kong Journal of Occupational Therapy,HONG KONG J OCCUP TH,0.360
11953,JOURNAL OF THE JAPAN INSTITUTE OF METALS,J JPN I MET,0.360
11953,Journal of Social Philosophy,J SOC PHILOS,0.360
11956,HISTORY AND PHILOSOPHY OF LOGIC,HIST PHILOS LOGIC,0.359
11956,TERAPEVTICHESKII ARKHIV,TERAPEVT ARKH,0.359
11958,Earth Sciences Research Journal,EARTH SCI RES J,0.358
11958,JOURNAL OF MINING SCIENCE,J MIN SCI+,0.358
11960,Acta Geotechnica Slovenica,ACTA GEOTECH SLOV,0.357
11960,Food Hygiene and Safety Science,FOOD HYG SAFE SCI,0.357
11960,INDIAN JOURNAL OF BIOCHEMISTRY & BIOPHYSICS,INDIAN J BIOCHEM BIO,0.357
11960,JOURNAL OF EMPLOYMENT COUNSELING,J EMPLOYMENT COUNS,0.357
11960,Magallania,MAGALLANIA,0.357
11965,ACTA SCIENTIARUM-TECHNOLOGY,ACTA SCI-TECHNOL,0.356
11965,BUFFALO LAW REVIEW,BUFFALO LAW REV,0.356
11965,CHEMISTRY AND TECHNOLOGY OF FUELS AND OILS,CHEM TECH FUELS OIL+,0.356
11965,INFORMACIJE MIDEM-JOURNAL OF MICROELECTRONICS ELECTRONIC COMPONENTS AND MATERIALS,INFORM MIDEM,0.356
11965,Journal of Latin American Cultural Studies,J LAT AM CULT STUD,0.356
11970,CESKA A SLOVENSKA NEUROLOGIE A NEUROCHIRURGIE,CESK SLOV NEUROL N,0.355
11970,DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,DISCRETE MATH THEOR,0.355
11970,JOURNAL OF CHINESE LINGUISTICS,J CHINESE LINGUIST,0.355
11973,Austrian Journal of Forest Science,AUSTRIAN J FOR SCI,0.354
11973,Cirugia y Cirujanos,CIR CIR,0.354
11973,Historical Social Research-Historische Sozialforschung,HIST SOC RES,0.354
11976,FinanzArchiv,FINANZARCHIV,0.353
11976,Language & History,LANG HIST,0.353
11976,MONATSSCHRIFT KINDERHEILKUNDE,MONATSSCHR KINDERH,0.353
11979,European Journal of English Studies,EUR J ENGL STUD,0.351
11979,JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,J EVOL BIOCHEM PHYS+,0.351
11979,Journal of Spanish Cultural Studies,J SPAN CULT STUD,0.351
11982,Estudios de Economia,ESTUD ECONOMIA,0.350
11982,FUJITSU SCIENTIFIC & TECHNICAL JOURNAL,FUJITSU SCI TECH J,0.350
11982,MICROWAVE JOURNAL,MICROWAVE J,0.350
11982,Open Astronomy,OPEN ASTRON,0.350
11982,SHILAP-REVISTA DE LEPIDOPTEROLOGIA,SHILAP-REV LEPIDOPT,0.350
11987,ASTRONOMY & GEOPHYSICS,ASTRON GEOPHYS,0.349
11987,JOURNAL OF VETERINARY DENTISTRY,J VET DENT,0.349
11987,SOUTH AFRICAN JOURNAL FOR RESEARCH IN SPORT PHYSICAL EDUCATION AND RECREATION,S AFR J RES SPORT PH,0.349
11987,Zeitschrift fur Evaluation,Z EVAL,0.349
11991,ESA BULLETIN-EUROPEAN SPACE AGENCY,ESA BULL-EUR SPACE,0.348
11991,Journal of the Australian Library and Information Association,J AUST LIB INF ASSOC,0.348
11993,African Journalism Studies,AFR JOURNAL STUD,0.347
11993,Argumenta Oeconomica,ARGUM OECON,0.347
11993,Poznan Studies in Contemporary Linguistics,POZ STUD CONTEMP LIN,0.347
11996,Australian Library Journal,AUST LIBR J,0.346
11996,Horticultural Science & Technology,HORTIC SCI TECHNOL,0.346
11996,ITEA-Informacion Tecnica Economica Agraria,ITEA-INF TEC ECON AG,0.346
11996,PHILIPPINE AGRICULTURAL SCIENTIST,PHILIPP AGRIC SCI,0.346
12000,African Journal of Library Archives and Information Science,AFR J LIBR ARCH INFO,0.345
12000,CHILD WELFARE,CHILD WELFARE,0.345
12000,Lecture Notes in Mathematics,LECT NOTES MATH,0.345
12000,Ukrainian Mathematical Journal,UKR MATH J+,0.345
12004,Bangladesh Journal of Plant Taxonomy,BANGL J PLANT TAXON,0.344
12004,TRACE ELEMENTS AND ELECTROLYTES,TRACE ELEM ELECTROLY,0.344
12006,ANNEE PSYCHOLOGIQUE,ANN PSYCHOL,0.343
12006,COMPUTATIONAL GEOMETRY-THEORY AND APPLICATIONS,COMP GEOM-THEOR APPL,0.343
12006,INDIAN JOURNAL OF BIOTECHNOLOGY,INDIAN J BIOTECHNOL,0.343
12009,Agrarforschung Schweiz,AGRARFORSCH SCHWEIZ+,0.342
12009,Chiang Mai Journal of Science,CHIANG MAI J SCI,0.342
12009,Presidential Studies Quarterly,PRES STUD Q,0.342
12012,BULLETIN OF THE HISTORY OF MEDICINE,B HIST MED,0.341
12012,BULLETIN OF THE HISTORY OF MEDICINE,B HIST MED,0.341
12012,Mathematical Reports,MATH REP,0.341
12012,POLITICKA EKONOMIE,POLIT EKON,0.341
12016,BOIS ET FORETS DES TROPIQUES,BOIS FOR TROP,0.340
12016,Bioagro,BIOAGRO,0.340
12016,Convergencia-Revista de Ciencias Sociales,CONVERGENCIA,0.340
12016,JOURNAL OF FAMILY HISTORY,J FAM HIST,0.340
12016,LASERS IN ENGINEERING,LASER ENG,0.340
12021,Historia Critica,HIST CRITICA,0.339
12021,JOURNAL OF URBAN HISTORY,J URBAN HIST,0.339
12021,ZHURNAL OBSHCHEI BIOLOGII,ZH OBSHCH BIOL,0.339
12024,REVUE DE MEDECINE VETERINAIRE,REV MED VET-TOULOUSE,0.338
12025,INDIAN JOURNAL OF PURE & APPLIED MATHEMATICS,INDIAN J PURE AP MAT,0.337
12026,Legume Research,LEGUME RES,0.336
12027,ARCHIVOS ESPANOLES DE UROLOGIA,ARCH ESP UROL,0.335
12028,ANZIAM JOURNAL,ANZIAM J,0.333
12028,CESKOSLOVENSKA PSYCHOLOGIE,CESK PSYCHOL,0.333
12028,Current Perspectives in Social Theory,CURR PERSPECT SOC TH,0.333
12028,HIMALAYAN GEOLOGY,HIMAL GEOL,0.333
12028,Heroin Addiction and Related Clinical Problems,HEROIN ADDICT REL CL,0.333
12028,History of Geo- and Space Sciences,HIST GEO- SPACE SCI,0.333
12028,History of Geo- and Space Sciences,HIST GEO- SPACE SCI,0.333
12028,INTERNATIONAL JOURNAL OF ART & DESIGN EDUCATION,INT J ART DES EDUC,0.333
12028,JOURNAL OF HISTOTECHNOLOGY,J HISTOTECHNOL,0.333
12028,JOURNAL OF THE SOCIETY OF LEATHER TECHNOLOGISTS AND CHEMISTS,J SOC LEATH TECH CH,0.333
12028,Language and Linguistics,LANG LINGUIST-TAIWAN,0.333
12028,Molecular Genetics Microbiology and Virology,MOL GENET MICROBIOL+,0.333
12028,Revija za Socijalnu Politiku,REV SOC POLIT,0.333
12041,NEW SCIENTIST,NEW SCI,0.332
12042,NATIONAL ACADEMY SCIENCE LETTERS-INDIA,NATL ACAD SCI LETT,0.331
12042,Universitas Psychologica,UNIV PSYCHOL,0.331
12044,Emerging Materials Research,EMERG MATER RES,0.330
12044,FIBRE CHEMISTRY,FIBRE CHEM+,0.330
12046,Soldagem & Inspecao,SOLDAGEM INSP,0.329
12046,Turkish Journal of Biochemistry-Turk Biyokimya Dergisi,TURK J BIOCHEM,0.329
12048,SOUTH AFRICAN HISTORICAL JOURNAL,S AFR HIST J,0.328
12049,MATHEMATICAL LOGIC QUARTERLY,MATH LOGIC QUART,0.327
12050,Acta Mathematicae Applicatae Sinica-English Series,ACTA MATH APPL SIN-E,0.326
12050,Agrekon,AGREKON,0.326
12050,Itinerario-International Journal on the History of European Expansion and Global Interaction,ITINERARIO,0.326
12050,JOURNAL OF PSYCHOLOGY AND THEOLOGY,J PSYCHOL THEOL,0.326
12050,Revista Fitotecnia Mexicana,REV FITOTEC MEX,0.326
12055,Journal of Vibration Engineering & Technologies,J VIB ENG TECHNOL,0.325
12055,KLINISCHE NEUROPHYSIOLOGIE,KLIN NEUROPHYSIOL,0.325
12055,RUSSIAN JOURNAL OF HERPETOLOGY,RUSS J HERPETOL,0.325
12058,CATHOLIC UNIVERSITY LAW REVIEW,CATHOL U LAW REV,0.324
12059,Bariatric Surgical Practice and Patient Care,BARIATR SURG PRACT P,0.323
12059,Bariatric Surgical Practice and Patient Care,BARIATR SURG PRACT P,0.323
12059,COLUMBIA JOURNAL OF LAW AND SOCIAL PROBLEMS,COLUMBIA J LAW SOC P,0.323
12062,TELOPEA,TELOPEA,0.322
12063,COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES,CR ACAD BULG SCI,0.321
12063,ENTOMOLOGICAL NEWS,ENTOMOL NEWS,0.321
12063,Kodai Mathematical Journal,KODAI MATH J,0.321
