cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169933.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169936.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169945.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinform_Chem/PMC3810201.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinform_Chem/PMC5391158.nxml , skipping..
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC2775695.nxml
surname | Do
given-names | Kim-Anh
surname | Subramanian
given-names | Devika
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3426805.nxml
surname | Qiu
given-names | Peng
surname | Zhang
given-names | Li
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3426807.nxml
surname | Cai
given-names | Guoshuai
surname | Li
given-names | Hua
surname | Lu
given-names | Yue
surname | Huang
given-names | Xuelin
surname | Lee
given-names | Juhee
surname | Müller
given-names | Peter
surname | Ji
given-names | Yuan
surname | Liang
given-names | Shoudan
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3426808.nxml
surname | Riehle
given-names | Kevin
surname | Coarfa
given-names | Cristian
surname | Jackson
given-names | Andrew
surname | Ma
given-names | Jun
surname | Tandon
given-names | Arpit
surname | Paithankar
given-names | Sameer
surname | Raghuraman
given-names | Sriram
surname | Mistretta
given-names | Toni-Ann
surname | Saulnier
given-names | Delphine
surname | Raza
given-names | Sabeen
surname | Diaz
given-names | Maria Alejandra
surname | Shulman
given-names | Robert
surname | Aagaard
given-names | Kjersti
surname | Versalovic
given-names | James
surname | Milosavljevic
given-names | Aleksandar
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3431216.nxml
surname | Lin
given-names | Henry C
surname | Goldstein
given-names | Steve
surname | Mendelowitz
given-names | Lee
surname | Zhou
given-names | Shiguo
surname | Wetzel
given-names | Joshua
surname | Schwartz
given-names | David C
surname | Pop
given-names | Mihai
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3431220.nxml
surname | Stropp
given-names | Thomas
surname | McPhillips
given-names | Timothy
surname | Ludäscher
given-names | Bertram
surname | Bieda
given-names | Mark
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3436770.nxml
surname | Cun
given-names | Yupeng
surname | Fröhlich
given-names | Holger FH
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3439679.nxml
surname | Liò
given-names | Pietro
surname | Paoletti
given-names | Nicola
surname | Moni
given-names | Mohammad Ali
surname | Atwell
given-names | Kathryn
surname | Merelli
given-names | Emanuela
surname | Viceconti
given-names | Marco
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3439685.nxml
surname | Dannemann
given-names | Michael
surname | Lachmann
given-names | Michael
surname | Lorenc
given-names | Anna
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3439729.nxml
surname | Yao
given-names | Dongxia
surname | Wei
given-names | Qiang
surname | Xu
given-names | Wenying
surname | Syrenne
given-names | Ryan D
surname | Yuan
given-names | Joshua S
surname | Su
given-names | Zhen
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3439730.nxml
surname | Merelli
given-names | I
surname | Viti
given-names | F
surname | Milanesi
given-names | L
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3439733.nxml
surname | Huang
given-names | Hui
surname | Wu
given-names | Xiaogang
surname | Sonachalam
given-names | Madhankumar
surname | Mandape
given-names | Sammed N
surname | Pandey
given-names | Ragini
surname | MacDorman
given-names | Karl F
surname | Wan
given-names | Ping
surname | Chen
given-names | Jake Y
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3439734.nxml
surname | Reddy
given-names | Joseph S
surname | Kumar
given-names | Ranjit
surname | Watt
given-names | James M
surname | Lawrence
given-names | Mark L
surname | Burgess
given-names | Shane C
surname | Nanduri
given-names | Bindu
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3443069.nxml
surname | Tarca
given-names | Adi Laurentiu
surname | Draghici
given-names | Sorin
surname | Bhatti
given-names | Gaurav
surname | Romero
given-names | Roberto
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3443452.nxml
surname | Liu
given-names | Ke-Qin
surname | Liu
given-names | Zhi-Ping
surname | Hao
given-names | Jin-Kao
surname | Chen
given-names | Luonan
surname | Zhao
given-names | Xing-Ming
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3464663.nxml
surname | Borozan
given-names | Ivan
surname | Wilson
given-names | Shane
surname | Blanchette
given-names | Paola
surname | Laflamme
given-names | Philippe
surname | Watt
given-names | Stuart N
surname | Krzyzanowski
given-names | Paul M
surname | Sircoulomb
given-names | Fabrice
surname | Rottapel
given-names | Robert
surname | Branton
given-names | Philip E
surname | Ferretti
given-names | Vincent
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3471323.nxml
surname | Masella
given-names | Andre P
surname | Bartram
given-names | Andrea K
surname | Truszkowski
given-names | Jakub M
surname | Brown
given-names | Daniel G
surname | Neufeld
given-names | Josh D
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3471479.nxml
surname | Gade
given-names | Stephan
surname | Porzelius
given-names | Christine
surname | Fälth
given-names | Maria
surname | Brase
given-names | Jan C
surname | Wuttig
given-names | Daniela
surname | Kuner
given-names | Ruprecht
surname | Binder
given-names | Harald
surname | Sültmann
given-names | Holger
surname | Beißbarth
given-names | Tim
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3475006.nxml
surname | van Wieringen
given-names | Wessel N
surname | Unger
given-names | Kristian
surname | Leday
given-names | Gwenaël GR
surname | Krijgsman
given-names | Oscar
surname | de Menezes
given-names | Renée X
surname | Ylstra
given-names | Bauke
surname | van de Wiel
given-names | Mark A
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3487959.nxml
surname | Corrada Bravo
given-names | Héctor
surname | Pihur
given-names | Vasyl
surname | McCall
given-names | Matthew
surname | Irizarry
given-names | Rafael A
surname | Leek
given-names | Jeffrey T
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3489510.nxml
surname | Haznedaroglu
given-names | Berat Z
surname | Reeves
given-names | Darryl
surname | Rismani-Yazdi
given-names | Hamid
surname | Peccia
given-names | Jordan
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3495688.nxml
surname | Victoria
given-names | Xin
suffix | Wang
surname | Blades
given-names | Natalie
surname | Ding
given-names | Jie
surname | Sultana
given-names | Razvan
surname | Parmigiani
given-names | Giovanni
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3496572.nxml
surname | Kick
given-names | Alfred
surname | Bönsch
given-names | Martin
surname | Mertig
given-names | Michael
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3514201.nxml
surname | Peterlongo
given-names | Pierre
surname | Chikhi
given-names | Rayan
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3521398.nxml
surname | El-Kalioby
given-names | Mohamed
surname | Abouelhoda
given-names | Mohamed
surname | Krüger
given-names | Jan
surname | Giegerich
given-names | Robert
surname | Sczyrba
given-names | Alexander
surname | Wall
given-names | Dennis P
surname | Tonellato
given-names | Peter
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3526431.nxml
surname | Wu
given-names | Xiao-Long
surname | Heo
given-names | Yun
surname | El Hajj
given-names | Izzat
surname | Hwu
given-names | Wen-Mei
surname | Chen
given-names | Deming
surname | Ma
given-names | Jian
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3526449.nxml
surname | Trimble
given-names | William L
surname | Keegan
given-names | Kevin P
surname | D’Souza
given-names | Mark
surname | Wilke
given-names | Andreas
surname | Wilkening
given-names | Jared
surname | Gilbert
given-names | Jack
surname | Meyer
given-names | Folker
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3526454.nxml
surname | Baciu
given-names | Cristina
surname | Thompson
given-names | Kevin J
surname | Mougeot
given-names | Jean-Luc
surname | Brooks
given-names | Benjamin R
surname | Weller
given-names | Jennifer W
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3532182.nxml
surname | Houseman
given-names | Eugene Andres
surname | Accomando
given-names | William P
surname | Koestler
given-names | Devin C
surname | Christensen
given-names | Brock C
surname | Marsit
given-names | Carmen J
surname | Nelson
given-names | Heather H
surname | Wiencke
given-names | John K
surname | Kelsey
given-names | Karl T
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3533878.nxml
surname | O'Callaghan
given-names | Sean
surname | De Souza
given-names | David P
surname | Isaac
given-names | Andrew
surname | Wang
given-names | Qiao
surname | Hodkinson
given-names | Luke
surname | Olshansky
given-names | Moshe
surname | Erwin
given-names | Tim
surname | Appelbe
given-names | Bill
surname | Tull
given-names | Dedreia L
surname | Roessner
given-names | Ute
surname | Bacic
given-names | Antony
surname | McConville
given-names | Malcolm J
surname | Likić
given-names | Vladimir A
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3534618.nxml
surname | Veeneman
given-names | Brendan A
surname | Iyer
given-names | Matthew K
surname | Chinnaiyan
given-names | Arul M
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3536579.nxml
surname | Transtrum
given-names | Mark K
surname | Qiu
given-names | Peng
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3542263.nxml
surname | Seitzer
given-names | Phillip
surname | Wilbanks
given-names | Elizabeth G
surname | Larsen
given-names | David J
surname | Facciotti
given-names | Marc T
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3546429.nxml
surname | Bodor
given-names | András
surname | Csabai
given-names | István
surname | Mahoney
given-names | Michael W
surname | Solymosi
given-names | Norbert
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3548675.nxml
surname | Cerulo
given-names | Luigi
surname | Paduano
given-names | Vincenzo
surname | Zoppoli
given-names | Pietro
surname | Ceccarelli
given-names | Michele
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3549822.nxml
surname | Gaire
given-names | Raj K
surname | Smith
given-names | Lorey
surname | Humbert
given-names | Patrick
surname | Bailey
given-names | James
surname | Stuckey
given-names | Peter J
surname | Haviv
given-names | Izhak
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3556136.nxml
surname | Edwards
given-names | David
surname | Wang
given-names | Lei
surname | Sørensen
given-names | Peter
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3560148.nxml
surname | Zhu
given-names | Yuelin
surname | Stephens
given-names | Robert M
surname | Meltzer
given-names | Paul S
surname | Davis
given-names | Sean R
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3568420.nxml
surname | Taminau
given-names | Jonatan
surname | Meganck
given-names | Stijn
surname | Lazar
given-names | Cosmin
surname | Steenhoff
given-names | David
surname | Coletta
given-names | Alain
surname | Molter
given-names | Colin
surname | Duque
given-names | Robin
surname | Schaetzen
given-names | Virginie de
surname | Weiss Solís
given-names | David Y
surname | Bersini
given-names | Hugues
surname | Nowé
given-names | Ann
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3568710.nxml
surname | Leek
given-names | Jeffrey T
surname | Taub
given-names | Margaret A
surname | Rasgon
given-names | Jason L
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3571941.nxml
surname | Yang
given-names | Tae Young
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3572422.nxml
surname | Chaisson
given-names | Mark J
surname | Tesler
given-names | Glenn
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3574043.nxml
surname | Scheubert
given-names | Lena
surname | Luštrek
given-names | Mitja
surname | Schmidt
given-names | Rainer
surname | Repsilber
given-names | Dirk
surname | Fuellen
given-names | Georg
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3574047.nxml
surname | Longabaugh
given-names | William JR
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3575404.nxml
surname | Lemay
given-names | Danielle G
surname | Martin
given-names | William F
surname | Hinrichs
given-names | Angie S
surname | Rijnkels
given-names | Monique
surname | German
given-names | J Bruce
surname | Korf
given-names | Ian
surname | Pollard
given-names | Katherine S
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3576305.nxml
surname | González
given-names | Juan R
surname | Abellán
given-names | Carlos
surname | Abellán
given-names | Juan J
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3577497.nxml
surname | Sun
given-names | Lei
surname | Zhang
given-names | Zhihua
surname | Bailey
given-names | Timothy L
surname | Perkins
given-names | Andrew C
surname | Tallack
given-names | Michael R
surname | Xu
given-names | Zhao
surname | Liu
given-names | Hui
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3582528.nxml
surname | Yasuda
given-names | Tomohiro
surname | Suzuki
given-names | Shin
surname | Nagasaki
given-names | Masao
surname | Miyano
given-names | Satoru
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3583189.nxml
surname | Wu
given-names | Xiaogang
surname | Huang
given-names | Hui
surname | Sonachalam
given-names | Madhankumar
surname | Reinhard
given-names | Sina
surname | Shen
given-names | Jeffrey
surname | Pandey
given-names | Ragini
surname | Chen
given-names | Jake Y
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3584913.nxml
surname | Lan
given-names | Liang
surname | Djuric
given-names | Nemanja
surname | Guo
given-names | Yuhong
surname | Vucetic
given-names | Slobodan
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3598928.nxml
surname | Chen
given-names | Yupeng
surname | Schmidt
given-names | Bertil
surname | Maskell
given-names | Douglas L
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3599117.nxml
surname | Heider
given-names | Andreas
surname | Alt
given-names | Rüdiger
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3599307.nxml
surname | Li
given-names | Yunfei
surname | Ray
given-names | Debjit
surname | Ye
given-names | Ping
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3599453.nxml
surname | Plancade
given-names | Sandra
surname | Rozenholc
given-names | Yves
surname | Lund
given-names | Eiliv
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3599560.nxml
surname | Earls
given-names | John C
surname | Eddy
given-names | James A
surname | Funk
given-names | Cory C
surname | Ko
given-names | Younhee
surname | Magis
given-names | Andrew T
surname | Price
given-names | Nathan D
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3599607.nxml
surname | Huang
given-names | Hanwen
surname | Chen
given-names | Zhongxue
surname | Huang
given-names | Xudong
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3599767.nxml
surname | Guintivano
given-names | Jerry
surname | Arad
given-names | Michal
surname | Tamashiro
given-names | Kellie LK
surname | Gould
given-names | Todd D
surname | Kaminsky
given-names | Zachary A
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3608994.nxml
surname | Wu
given-names | Xiao
surname | Berkow
given-names | Kathryn
surname | Frank
given-names | Daniel N
surname | Li
given-names | Ellen
surname | Gulati
given-names | Ajay S
surname | Zhu
given-names | Wei
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3614553.nxml
surname | Chou
given-names | Hsiu-Ling
surname | Yao
given-names | Chung-Tay
surname | Su
given-names | Sui-Lun
surname | Lee
given-names | Chia-Yi
surname | Hu
given-names | Kuang-Yu
surname | Terng
given-names | Harn-Jing
surname | Shih
given-names | Yun-Wen
surname | Chang
given-names | Yu-Tien
surname | Lu
given-names | Yu-Fen
surname | Chang
given-names | Chi-Wen
surname | Wahlqvist
given-names | Mark L
surname | Wetter
given-names | Thomas
surname | Chu
given-names | Chi-Ming
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3618321.nxml
surname | Hänzelmann
given-names | Sonja
surname | Castelo
given-names | Robert
surname | Guinney
given-names | Justin
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3621801.nxml
surname | Yates
given-names | Phillip D
surname | Mukhopadhyay
given-names | Nitai D
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3622627.nxml
surname | Ander
given-names | Christina
surname | Schulz-Trieglaff
given-names | Ole B
surname | Stoye
given-names | Jens
surname | Cox
given-names | Anthony J
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3622629.nxml
surname | Allhoff
given-names | Manuel
surname | Schönhuth
given-names | Alexander
surname | Martin
given-names | Marcel
surname | Costa
given-names | Ivan G
surname | Rahmann
given-names | Sven
surname | Marschall
given-names | Tobias
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3622633.nxml
surname | Li
given-names | Sheng
surname | Garrett-Bakelman
given-names | Francine E
surname | Akalin
given-names | Altuna
surname | Zumbo
given-names | Paul
surname | Levine
given-names | Ross
surname | To
given-names | Bik L
surname | Lewis
given-names | Ian D
surname | Brown
given-names | Anna L
surname | D'Andrea
given-names | Richard J
surname | Melnick
given-names | Ari
surname | Mason
given-names | Christopher E
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3622637.nxml
surname | Lederman
given-names | Roy
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3622638.nxml
surname | Tomescu
given-names | Alexandru I
surname | Kuosmanen
given-names | Anna
surname | Rizzi
given-names | Romeo
surname | Mäkinen
given-names | Veli
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3622641.nxml
surname | Wang
given-names | Xi
surname | Cairns
given-names | Murray J
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3626710.nxml
surname | Jacobson
given-names | Dan
surname | Emerton
given-names | Guy
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3626802.nxml
surname | Liu
given-names | Xuejun
surname | Gao
given-names | Zhenzhu
surname | Zhang
given-names | Li
surname | Rattray
given-names | Magnus
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3626856.nxml
surname | Zhong
given-names | Yi
surname | Wan
given-names | Ying-Wooi
surname | Pang
given-names | Kaifang
surname | Chow
given-names | Lionel ML
surname | Liu
given-names | Zhandong
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3633008.nxml
surname | Boria
given-names | Ilenia
surname | Boatti
given-names | Lara
surname | Pesole
given-names | Graziano
surname | Mignone
given-names | Flavio
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3633009.nxml
surname | Zaslavsky
given-names | Elena
surname | Nudelman
given-names | German
surname | Marquez
given-names | Susanna
surname | Hershberg
given-names | Uri
surname | Hartmann
given-names | Boris M
surname | Thakar
given-names | Juilee
surname | Sealfon
given-names | Stuart C
surname | Kleinstein
given-names | Steven H
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3633028.nxml
surname | Cangelosi
given-names | Davide
surname | Blengio
given-names | Fabiola
surname | Versteeg
given-names | Rogier
surname | Eggert
given-names | Angelika
surname | Garaventa
given-names | Alberto
surname | Gambini
given-names | Claudio
surname | Conte
given-names | Massimo
surname | Eva
given-names | Alessandra
surname | Muselli
given-names | Marco
surname | Varesio
given-names | Luigi
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3633045.nxml
surname | Basu
given-names | Swaraj
surname | Müller
given-names | Ferenc
surname | Sanges
given-names | Remo
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3633050.nxml
surname | Carrara
given-names | Matteo
surname | Beccuti
given-names | Marco
surname | Cavallo
given-names | Federica
surname | Donatelli
given-names | Susanna
surname | Lazzarato
given-names | Fulvio
surname | Cordero
given-names | Francesca
surname | Calogero
given-names | Raffaele A
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3636059.nxml
surname | Le
given-names | Thuc D
surname | Liu
given-names | Lin
surname | Liu
given-names | Bing
surname | Tsykin
given-names | Anna
surname | Goodall
given-names | Gregory J
surname | Satou
given-names | Kenji
surname | Li
given-names | Jiuyong
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3637832.nxml
surname | Marczyk
given-names | Michal
surname | Jaksik
given-names | Roman
surname | Polanski
given-names | Andrzej
surname | Polanska
given-names | Joanna
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3644270.nxml
surname | Zhang
given-names | Lifang
surname | Zhang
given-names | Juan
surname | Yang
given-names | Gang
surname | Wu
given-names | Di
surname | Jiang
given-names | Lina
surname | Wen
given-names | Zhining
surname | Li
given-names | Menglong
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3645958.nxml
surname | Song
given-names | Lin
surname | Langfelder
given-names | Peter
surname | Horvath
given-names | Steve
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3651355.nxml
surname | Welsh
given-names | Eric A
surname | Eschrich
given-names | Steven A
surname | Berglund
given-names | Anders E
surname | Fenstermacher
given-names | David A
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3654928.nxml
surname | Wang
given-names | Shu-Lin
surname | Fang
given-names | Yaping
surname | Fang
given-names | Jianwen
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3656776.nxml
surname | Patrick
given-names | Ellis
surname | Buckley
given-names | Michael
surname | Yang
given-names | Yee Hwa
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3663421.nxml
surname | Magis
given-names | Andrew T
surname | Price
given-names | Nathan D
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3663784.nxml
surname | Lichtenstein
given-names | Ilana
surname | Charleston
given-names | Michael A
surname | Caetano
given-names | Tiberio S
surname | Gamble
given-names | Jennifer R
surname | Vadas
given-names | Mathew A
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3669619.nxml
surname | Stoltzfus
given-names | Arlin
surname | Lapp
given-names | Hilmar
surname | Matasci
given-names | Naim
surname | Deus
given-names | Helena
surname | Sidlauskas
given-names | Brian
surname | Zmasek
given-names | Christian M
surname | Vaidya
given-names | Gaurav
surname | Pontelli
given-names | Enrico
surname | Cranston
given-names | Karen
surname | Vos
given-names | Rutger
surname | Webb
given-names | Campbell O
surname | Harmon
given-names | Luke J
surname | Pirrung
given-names | Megan
surname | O'Meara
given-names | Brian
surname | Pennell
given-names | Matthew W
surname | Mirarab
given-names | Siavash
surname | Rosenberg
given-names | Michael S
surname | Balhoff
given-names | James P
surname | Bik
given-names | Holly M
surname | Heath
given-names | Tracy A
surname | Midford
given-names | Peter E
surname | Brown
given-names | Joseph W
surname | McTavish
given-names | Emily Jane
surname | Sukumaran
given-names | Jeet
surname | Westneat
given-names | Mark
surname | Alfaro
given-names | Michael E
surname | Steele
given-names | Aaron
surname | Jordan
given-names | Greg
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3679775.nxml
surname | Lehmann
given-names | Robert
surname | Machné
given-names | Rainer
surname | Georg
given-names | Jens
surname | Benary
given-names | Manuela
surname | Axmann
given-names | Ilka
surname | Steuer
given-names | Ralf
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3679856.nxml
surname | Kristiansson
given-names | Erik
surname | Österlund
given-names | Tobias
surname | Gunnarsson
given-names | Lina
surname | Arne
given-names | Gabriella
surname | Joakim Larsson
given-names | D G
surname | Nerman
given-names | Olle
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3679934.nxml
surname | Niklas
given-names | Norbert
surname | Pröll
given-names | Johannes
surname | Danzer
given-names | Martin
surname | Stabentheiner
given-names | Stephanie
surname | Hofer
given-names | Katja
surname | Gabriel
given-names | Christian
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3680041.nxml
surname | Deorowicz
given-names | Sebastian
surname | Debudaj-Grabysz
given-names | Agnieszka
surname | Grabowski
given-names | Szymon
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3680968.nxml
surname | Di Lena
given-names | Pietro
surname | Wu
given-names | Gang
surname | Martelli
given-names | Pier Luigi
surname | Casadio
given-names | Rita
surname | Nardini
given-names | Christine
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3681645.nxml
surname | Bazot
given-names | Cécile
surname | Dobigeon
given-names | Nicolas
surname | Tourneret
given-names | Jean-Yves
surname | Zaas
given-names | Aimee K
surname | Ginsburg
given-names | Geoffrey S
surname | O Hero III
given-names | Alfred
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3684512.nxml
surname | Wu
given-names | George
surname | Ji
given-names | Hongkai
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3685601.nxml
surname | Laimer
given-names | Josef
surname | Zuzan
given-names | Clemens J
surname | Ehrenberger
given-names | Tobias
surname | Freudenberger
given-names | Monika
surname | Gschwandtner
given-names | Simone
surname | Lebherz
given-names | Carina
surname | Lackner
given-names | Peter
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3686578.nxml
surname | Baty
given-names | Florent
surname | Rüdiger
given-names | Jochen
surname | Miglino
given-names | Nicola
surname | Kern
given-names | Lukas
surname | Borger
given-names | Peter
surname | Brutsche
given-names | Martin
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3691734.nxml
surname | Liu
given-names | Chenglin
surname | Ma
given-names | Jinwen
surname | Chang
given-names | ChungChe (Jeff)
surname | Zhou
given-names | Xiaobo
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3694522.nxml
surname | Čech
given-names | Petr
surname | Kukal
given-names | Jaromír
surname | Černý
given-names | Jiří
surname | Schneider
given-names | Bohdan
surname | Svozil
given-names | Daniel
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3695811.nxml
surname | Meynert
given-names | Alison M
surname | Bicknell
given-names | Louise S
surname | Hurles
given-names | Matthew E
surname | Jackson
given-names | Andrew P
surname | Taylor
given-names | Martin S
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3697991.nxml
surname | Xu
given-names | Xiao
surname | Zhang
given-names | Yuanhao
surname | Williams
given-names | Jennie
surname | Antoniou
given-names | Eric
surname | McCombie
given-names | W Richard
surname | Wu
given-names | Song
surname | Zhu
given-names | Wei
surname | Davidson
given-names | Nicholas O
surname | Denoya
given-names | Paula
surname | Li
given-names | Ellen
publication | /u/scratch/n/nikodm/pmcOA/BMC_Bioinformatics/PMC3698011.nxml
surname | Ochoa
given-names | Idoia
surname | Asnani
given-names | Himanshu
surname | Bharadia
given-names | Dinesh
surname | Chowdhury
given-names | Mainak
surname | Weissman
given-names | Tsachy
surname | Yona
given-names | Golan
